episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
12,cql,CartPole-v1,observational,cql,1.0,2.769772529602051,46.51622009277344,38.99143981933594,7.5247802734375,220.56344604492188,0.8830000162124634,0.028090476989746094,0.8049817085266113,0.8595486283302307,,,
12,cql,CartPole-v1,proximal,cql,1.0,1.9454314708709717,39.134613037109375,38.99143981933594,0.1431732177734375,1.0915664434432983,0.9432500600814819,0.9936502575874329,0.9973304271697998,0.9974398612976074,0.9950510092990613,,
12,cql,CartPole-v1,oracle_u,cql,1.0,2.025313377380371,38.99143981933594,38.99143981933594,0.0,0.0,1.0,1.0,1.0,1.0,,,
14,cql,CartPole-v1,observational,cql,1.0,3.255772113800049,51.327213287353516,41.547088623046875,9.78012466430664,264.7261962890625,0.8767500519752502,0.13580673933029175,0.8377384543418884,0.8704370260238647,,,
14,cql,CartPole-v1,proximal,cql,1.0,2.6630353927612305,41.98245620727539,41.547088623046875,0.4353675842285156,2.611306667327881,0.9420000314712524,0.9876216650009155,0.9947046637535095,0.9948411583900452,0.9901358206934817,,
14,cql,CartPole-v1,oracle_u,cql,1.0,2.6089086532592773,41.547088623046875,41.547088623046875,0.0,0.0,1.0,1.0,1.0,1.0,,,
16,cql,CartPole-v1,observational,cql,1.0,3.2052342891693115,55.112613677978516,44.06800079345703,11.044612884521484,306.1306457519531,0.8417500257492065,0.188015878200531,0.8473524451255798,0.8915450572967529,,,
16,cql,CartPole-v1,proximal,cql,1.0,2.0923538208007812,44.747798919677734,44.06800079345703,0.6797981262207031,4.606933116912842,0.9307500720024109,0.9817237257957458,0.9918602108955383,0.9931840896606445,0.9849510881029347,,
16,cql,CartPole-v1,oracle_u,cql,1.0,2.1469967365264893,44.06800079345703,44.06800079345703,0.0,0.0,1.0,1.0,1.0,1.0,,,
18,cql,CartPole-v1,observational,cql,1.0,3.5482025146484375,58.65896224975586,46.145023345947266,12.513938903808594,351.7120056152344,0.7972500324249268,0.27194201946258545,0.8570238947868347,0.8910768628120422,,,
18,cql,CartPole-v1,proximal,cql,1.0,2.2330143451690674,46.94694137573242,46.145023345947266,0.8019180297851562,5.57157039642334,0.9387500286102295,0.9816094636917114,0.9917981028556824,0.9921420216560364,0.9841587142108578,,
18,cql,CartPole-v1,oracle_u,cql,1.0,2.2492332458496094,46.145023345947266,46.145023345947266,0.0,0.0,1.0,1.0,1.0,1.0,,,
20,cql,CartPole-v1,observational,cql,1.0,3.3688321113586426,61.91471862792969,48.23799514770508,13.67672348022461,396.8238830566406,0.8415000438690186,0.3352400064468384,0.8622985482215881,0.9170095324516296,,,
