episode,algorithm,environment,critic,base_algo,sigma,train_loss,apparent_q_mean,oracle_q_mean,q_inflation,value_mse_to_oracle,argmax_agreement_oracle,explained_variance_to_oracle,pearson_to_oracle,spearman_to_oracle,gap_closed_fraction,gamma,pessimism_cost
52,cql,CartPole-v1,proximal,cql,0.0,3.943969964981079,77.98121643066406,80.97726440429688,-2.9960479736328125,145.37747192382812,0.8209366202354431,0.915534496307373,0.9568563103675842,0.9349033236503601,,,
52,cql,CartPole-v1,oracle_u,cql,0.0,3.305915355682373,80.97726440429688,80.97726440429688,0.0,0.0,1.0,1.0,1.0,1.0,,,
62,cql,CartPole-v1,observational,cql,0.0,3.4241158962249756,105.41631317138672,74.91590118408203,30.500411987304688,1753.27197265625,0.7373737096786499,0.5492209196090698,0.7449593544006348,0.8837566375732422,,,
62,cql,CartPole-v1,proximal,cql,0.0,4.576706409454346,82.80288696289062,74.91590118408203,7.886985778808594,275.36041259765625,0.7722681164741516,0.8832483291625977,0.939837634563446,0.9491233825683594,,,
62,cql,CartPole-v1,oracle_u,cql,0.0,4.009350299835205,74.91590118408203,74.91590118408203,0.0,0.0,1.0,1.0,1.0,1.0,,,
73,cql,CartPole-v1,observational,cql,0.0,2.724862575531006,109.13307189941406,69.14257049560547,39.990501403808594,2966.3671875,0.6951331496238708,0.3508601188659668,0.6110861897468567,0.90282142162323,,,
73,cql,CartPole-v1,proximal,cql,0.0,5.659588813781738,91.13634490966797,69.14257049560547,21.9937744140625,919.30517578125,0.8236914277076721,0.7931780815124512,0.8908690810203552,0.9155643582344055,,,
73,cql,CartPole-v1,oracle_u,cql,0.0,4.609148025512695,69.14257049560547,69.14257049560547,0.0,0.0,1.0,1.0,1.0,1.0,,,
83,cql,CartPole-v1,observational,cql,0.0,3.11653470993042,105.49861145019531,67.96940612792969,37.529205322265625,2681.426513671875,0.6519742608070374,0.3491981029510498,0.6100432872772217,0.8877496123313904,,,
83,cql,CartPole-v1,proximal,cql,0.0,5.144498825073242,91.6043701171875,67.96940612792969,23.634963989257812,949.807861328125,0.774104654788971,0.8000043630599976,0.8949032425880432,0.927298903465271,,,
83,cql,CartPole-v1,oracle_u,cql,0.0,3.8542404174804688,67.96940612792969,67.96940612792969,0.0,0.0,1.0,1.0,1.0,1.0,,,
93,cql,CartPole-v1,observational,cql,0.0,2.868516445159912,103.32624816894531,71.04634094238281,32.2799072265625,2164.65283203125,0.6510559916496277,0.42792266607284546,0.6597915887832642,0.8664312362670898,,,
93,cql,CartPole-v1,proximal,cql,0.0,4.527050971984863,91.31428527832031,71.04634094238281,20.2679443359375,865.0282592773438,0.7796143293380737,0.7685323357582092,0.8769230842590332,0.9034945368766785,,,
93,cql,CartPole-v1,oracle_u,cql,0.0,3.403141498565674,71.04634094238281,71.04634094238281,0.0,0.0,1.0,1.0,1.0,1.0,,,
104,cql,CartPole-v1,observational,cql,0.0,2.918935537338257,99.73278045654297,68.24115753173828,31.491622924804688,2028.1705322265625,0.6896234750747681,0.5129216909408569,0.7162204384803772,0.8658866882324219,,,
104,cql,CartPole-v1,proximal,cql,0.0,4.591752052307129,96.26043701171875,68.24115753173828,28.01927947998047,1548.0164794921875,0.7373737096786499,0.64145827293396,0.8044721484184265,0.8167917728424072,,,
